Accuracy,A1,,,A2,,,A3,,,,,,,,,
N \ fs,238,476,952,238,476,952,238,476,952,,,,,,,
128,84.46,73.76,59.49,83.67,74.12,54.96,83.69,73.41,51.87,,,,,,,
256,91.19,85.41,73.59,90.63,84.39,71.84,91.3,84.78,72,,,,,,,
512,95.54,91.91,85.19,95.45,91.92,84.05,95.54,91.93,85.05,,,,,,,
,,,,,,,,,,,,,,,,
TPR,A1,,,A2,,,A3,,,,,,,,,
N \ fs,238,476,952,238,476,952,238,476,952,,,,,,,
128,23.77,35.52,41.04,16.11,22.33,21.94,9.65,14.58,9.47,,,,,,,
256,10.62,27.42,29.98,6.58,15.33,28.03,13.26,11.88,9.51,,,,,,,
512,12.08,14.52,32.09,3.68,0,17.13,2.35,1.8,15.26,,,,,,,
,,,,,,,,,,,,,,,,
FPR,A1,,,A2,,,A3,,,,,,,,,
N \ fs,238,476,952,238,476,952,238,476,952,,,,,,,
128,3.67,11.31,21.59,3.06,5.38,11.38,1.75,3.36,4.87,,,,,,,
256,1.08,4.1,8.66,1.26,3.12,10.33,1.19,1.97,2.41,,,,,,,
512,5.27,1.3,5,0.96,0,3.48,0.96,0.15,1.95,,,,,,,
,,,,,,,,,,,,,,,,
PPV,A1,,,A2,,,A3,,,,,,,,,
N \ fs,238,476,952,238,476,952,238,476,952,,,,,,,
128,52.59,55.91,65.7,48.4,64.07,65.73,46.3,64.35,65.73,,,,,,,
256,46.3,56.69,58.37,29.86,49.72,52.59,53.05,51.52,59.79,,,,,,,
512,53.92,51.44,54.75,5.88,0,48.62,23.53,27.78,60.11,,,,,,,
,,,,,,,,,,,,,,,,
A1,,,,,,A2,,,,,A3,,,,,
fs,N,k,e,H_rel,,N,fs,k,slope,,N,fs,t,h,p,I
238,128,12,3,32,,238,128,2,12,,238,128,16,0,10,8
238,256,3,1,32,,238,256,2,16,,238,256,16,0,10,12
238,512,3,4,32,,238,512,2,26,,238,512,10,4,38,0
476,128,3,4,16,,476,128,2,9,,476,128,10,0,10,0
476,256,12,4,32,,476,256,2,12,,476,256,16,0,10,0
476,512,3,4,32,,476,512,1,20,,476,512,10,4,33,0
952,128,3,4,0,,952,128,2,5,,952,128,10,0,10,0
952,256,6,4,24,,952,256,2,5,,952,256,16,0,10,0
952,512,6,4,32,,952,512,2,12,,952,512,16,0,10,0
