N \ fs,50,119,238,476,952,,N \ fs,50,119,238,476,952,,A1
32,,,,,,,32,,,,,,,
64,,,,,,,64,,,,,,,
128,,,,,,,128,,,,,,,
256,,,,,,,256,,,,,,,
512,,,,,,,512,,,,,,,
1024,,,,,,,1024,,,,,,,
,,,,,,,,,,,,,,
N \ fs,50,119,238,476,952,,N \ fs,50,119,238,476,952,,A2
32,,,,,,,32,,,,,,,
64,,,,,,,64,,,,,,,
128,,,,,,,128,,,,,,,
256,,,,,,,256,,,,,,,
512,,,,,,,512,,,,,,,
1024,,,,,,,1024,,,,,,,
,,,,,,,,,,,,,,
N \ fs,50,119,238,476,952,,N \ fs,50,119,238,476,952,,A3
32,,,,,,,32,,,,,,,
64,,,,,,,64,,,,,,,
128,,,,,,,128,,,,,,,
256,,,,,,,256,,,,,,,
512,,,,,,,512,,,,,,,
1024,,,,,,,1024,,,,,,,
,,,,,,,,,,,,,,
DFT,,,,,,,DCT,,,,,,,
